age,education_level,years_of_experience,technical_test_score,interview_score,previous_employment,suitable_for_employment
45.0,High School,26,54.5,5.1,No,No
22.0,Master's,0,73.8,7.5,Yes,Yes
30.0,,,39.9,6.9,Yes,No
34.0,High School,15,51.7,4.8,No,No
57.0,Bachelor's,35,80.2,5.2,No,Yes
62.0,PhD,33,29.9,7.4,Yes,Yes
,Master's,,83.1,8.4,Yes,Yes
46.0,Bachelor's,23,24.8,5.9,Yes,No
20.0,Master's,0,30.4,6.4,Yes,No
57.0,Master's,32,55.0,7.8,No,Yes
51.0,Bachelor's,28,70.7,6.2,Yes,Yes
,Master's,,91.5,5.9,Yes,Yes
44.0,Bachelor's,20,66.2,5.0,No,No
,Bachelor's,,60.1,5.0,,No
62.0,PhD,33,76.6,10.0,Yes,Yes
50.0,Master's,25,47.6,6.1,Yes,Yes
23.0,Bachelor's,0,67.8,9.2,Yes,Yes
41.0,High School,23,41.0,9.9,Yes,Yes
36.0,Bachelor's,12,66.7,6.1,Yes,No
33.0,Master's,9,62.4,7.2,Yes,Yes
57.0,Bachelor's,35,48.9,6.7,No,Yes
45.0,PhD,16,68.3,3.3,Yes,No
,Master's,,68.2,3.4,Yes,No
65.0,Bachelor's,42,88.5,6.6,Yes,Yes
58.0,High School,38,32.9,5.7,Yes,No
30.0,Bachelor's,8,63.5,10.0,Yes,Yes
60.0,Bachelor's,38,49.8,6.0,No,Yes
62.0,Bachelor's,38,82.4,10.0,Yes,Yes
42.0,Bachelor's,20,80.1,5.5,Yes,Yes
59.0,Bachelor's,35,75.2,10.0,Yes,Yes
53.0,Bachelor's,29,50.9,7.5,Yes,Yes
44.0,Bachelor's,21,82.7,7.6,No,Yes
55.0,Bachelor's,33,34.4,5.5,No,No
24.0,High School,4,30.3,7.7,Yes,No
,,,39.5,9.9,No,Yes
,Bachelor's,,64.3,6.2,Yes,Yes
62.0,Bachelor's,40,78.5,5.8,Yes,Yes
48.0,High School,28,5.5,6.0,No,No
40.0,Master's,14,91.5,9.7,Yes,Yes
59.0,Bachelor's,36,67.6,8.2,Yes,Yes
27.0,,,33.6,9.4,Yes,Yes
49.0,Master's,23,67.0,7.1,Yes,Yes
60.0,Bachelor's,37,86.9,6.6,Yes,Yes
47.0,Bachelor's,25,77.0,7.3,No,Yes
56.0,PhD,28,87.0,8.6,Yes,Yes
48.0,Master's,23,37.7,6.0,Yes,No
35.0,PhD,8,56.7,9.2,Yes,Yes
53.0,Master's,28,46.5,7.2,Yes,Yes
19.0,High School,0,99.4,1.7,No,No
31.0,High School,11,77.8,8.3,No,No
30.0,Bachelor's,7,100.0,4.0,No,No
46.0,Bachelor's,22,55.6,8.2,Yes,Yes
29.0,,,50.5,8.3,No,No
56.0,Master's,31,62.1,7.2,Yes,Yes
19.0,Bachelor's,0,92.6,7.6,Yes,Yes
49.0,Bachelor's,27,57.7,8.7,No,Yes
30.0,Master's,5,67.5,5.5,Yes,No
63.0,Master's,37,66.9,8.1,Yes,Yes
44.0,Bachelor's,21,65.8,8.8,No,Yes
58.0,Master's,32,52.0,10.0,No,Yes
34.0,Master's,9,62.3,4.3,Yes,No
57.0,Bachelor's,35,61.4,7.3,No,Yes
48.0,High School,30,64.8,4.6,No,No
51.0,High School,31,83.9,,No,Yes
41.0,Bachelor's,18,100.0,7.2,Yes,Yes
62.0,Bachelor's,38,48.2,6.7,No,Yes
52.0,PhD,25,57.2,8.8,No,Yes
65.0,Master's,39,48.5,5.8,Yes,Yes
23.0,Master's,0,68.7,6.2,Yes,No
36.0,PhD,7,54.2,6.9,Yes,Yes
47.0,,,69.8,4.8,Yes,No
24.0,Bachelor's,1,87.1,5.1,No,No
27.0,High School,8,14.5,8.7,Yes,No
,Master's,,74.8,5.4,Yes,Yes
49.0,Bachelor's,27,55.8,8.9,No,Yes
51.0,Bachelor's,28,74.2,7.7,Yes,Yes
45.0,Bachelor's,22,47.1,3.4,Yes,No
32.0,PhD,4,88.9,7.6,Yes,Yes
47.0,Bachelor's,23,83.3,7.5,Yes,Yes
54.0,Master's,30,76.4,7.3,No,Yes
46.0,Bachelor's,22,80.9,6.2,No,Yes
39.0,Bachelor's,15,50.1,4.6,Yes,No
21.0,High School,3,52.6,9.2,No,No
37.0,Master's,11,80.0,6.3,Yes,Yes
49.0,High School,,49.6,4.7,Yes,No
53.0,Master's,28,93.9,7.4,Yes,Yes
21.0,High School,1,58.5,5.0,No,No
44.0,Bachelor's,22,75.0,4.6,Yes,Yes
34.0,,,100.0,5.7,Yes,Yes
29.0,Bachelor's,5,50.9,5.2,Yes,No
39.0,High School,20,66.4,4.7,Yes,No
34.0,Bachelor's,10,86.1,8.1,No,Yes
27.0,Master's,3,84.0,6.3,Yes,Yes
18.0,Bachelor's,0,58.4,9.0,No,No
39.0,High School,19,54.7,4.8,Yes,No
43.0,Master's,19,60.3,3.0,No,No
35.0,High School,17,94.0,6.8,No,Yes
31.0,Bachelor's,,59.4,10.0,Yes,Yes
64.0,Bachelor's,40,66.6,7.6,Yes,Yes
46.0,Bachelor's,23,56.5,10.0,No,Yes
29.0,Bachelor's,5,79.1,7.2,No,No
,PhD,,68.1,7.0,Yes,Yes
52.0,Bachelor's,29,44.9,2.2,Yes,No
29.0,High School,9,,7.4,No,No
24.0,Bachelor's,2,25.0,6.8,Yes,No
46.0,Master's,22,48.4,5.7,Yes,No
28.0,Bachelor's,6,80.9,6.2,No,No
50.0,Master's,26,91.5,6.4,No,Yes
23.0,PhD,0,78.7,6.1,No,No
64.0,PhD,,76.1,10.0,Yes,Yes
32.0,Master's,7,62.5,5.8,No,No
49.0,High School,30,80.5,6.8,Yes,Yes
28.0,Master's,3,70.7,5.7,Yes,No
40.0,High School,20,100.0,8.1,Yes,Yes
43.0,Master's,18,63.0,6.9,No,Yes
51.0,Bachelor's,27,,5.9,Yes,Yes
63.0,Master's,38,82.5,2.6,No,Yes
51.0,Bachelor's,27,79.7,7.0,No,Yes
46.0,Bachelor's,22,24.8,5.9,Yes,No
21.0,PhD,0,83.6,6.4,No,No
34.0,High School,15,62.4,4.1,,No
,Bachelor's,,56.1,9.4,Yes,Yes
30.0,Bachelor's,6,35.3,8.2,Yes,No
58.0,PhD,31,64.9,9.4,Yes,Yes
56.0,High School,37,65.7,8.8,Yes,Yes
32.0,High School,14,38.9,7.7,No,No
46.0,High School,26,35.5,4.2,Yes,No
46.0,High School,28,74.7,10.0,No,Yes
28.0,PhD,1,82.4,4.6,No,No
49.0,Master's,24,68.8,6.0,Yes,Yes
19.0,Bachelor's,0,88.0,7.9,Yes,Yes
64.0,Bachelor's,41,63.3,8.0,Yes,Yes
31.0,Master's,,63.9,7.6,Yes,Yes
37.0,High School,19,46.7,5.7,Yes,No
39.0,Bachelor's,,33.8,5.3,Yes,No
28.0,Bachelor's,5,100.0,10.0,Yes,Yes
44.0,High School,24,87.6,6.4,Yes,Yes
20.0,,,37.1,6.2,No,No
34.0,Bachelor's,11,68.1,5.1,Yes,No
61.0,High School,43,63.0,7.0,Yes,Yes
45.0,High School,26,59.5,6.9,,Yes
46.0,Master's,21,56.8,6.5,Yes,Yes
38.0,High School,19,72.6,7.3,Yes,Yes
64.0,PhD,35,81.4,10.0,Yes,Yes
33.0,High School,15,73.0,5.3,Yes,No
54.0,Master's,28,62.6,6.6,Yes,Yes
37.0,Master's,12,61.9,5.2,Yes,No
23.0,PhD,,83.7,7.1,Yes,Yes
36.0,Master's,10,74.3,5.4,Yes,Yes
22.0,Bachelor's,0,66.5,5.4,No,No
20.0,Bachelor's,0,64.3,3.6,Yes,No
18.0,Bachelor's,0,71.9,6.7,Yes,No
55.0,High School,36,55.6,7.4,No,Yes
32.0,High School,14,81.4,10.0,No,Yes
51.0,Master's,27,43.5,7.4,No,Yes
52.0,Bachelor's,28,56.8,5.6,Yes,Yes
42.0,Bachelor's,20,77.2,3.8,Yes,No
41.0,PhD,12,42.3,4.1,Yes,No
29.0,Bachelor's,5,33.5,3.9,No,No
35.0,Bachelor's,11,66.3,10.0,No,Yes
32.0,Master's,6,31.1,7.1,Yes,No
61.0,High School,43,39.0,5.3,Yes,No
33.0,Bachelor's,11,80.1,4.6,Yes,No
44.0,PhD,15,60.9,,Yes,Yes
25.0,PhD,0,90.7,5.3,No,No
63.0,Master's,37,40.9,9.1,Yes,Yes
42.0,Bachelor's,18,63.1,6.4,Yes,Yes
34.0,Master's,8,73.0,3.6,No,No
46.0,High School,27,41.6,10.0,Yes,Yes
25.0,High School,,85.6,4.2,Yes,No
32.0,Bachelor's,10,75.2,5.3,Yes,No
44.0,Bachelor's,20,32.8,9.1,Yes,Yes
63.0,Bachelor's,41,64.2,7.3,Yes,Yes
24.0,Bachelor's,0,72.7,5.6,Yes,No
20.0,High School,2,53.2,4.0,Yes,No
46.0,Bachelor's,22,35.4,4.6,Yes,No
61.0,Master's,35,70.6,4.7,Yes,Yes
41.0,Bachelor's,18,100.0,6.5,No,Yes
20.0,High School,0,57.3,6.9,Yes,No
37.0,Bachelor's,14,96.4,6.2,Yes,Yes
63.0,Bachelor's,41,50.0,6.4,Yes,Yes
32.0,Bachelor's,10,69.3,4.4,Yes,No
42.0,Bachelor's,19,80.4,7.1,Yes,Yes
47.0,Bachelor's,25,64.8,9.1,No,Yes
31.0,PhD,3,59.0,6.2,Yes,No
24.0,High School,6,79.5,6.1,Yes,No
34.0,Bachelor's,11,100.0,6.7,Yes,Yes
61.0,Bachelor's,38,71.0,8.7,No,Yes
37.0,Bachelor's,13,54.7,4.7,No,No
53.0,High School,35,61.2,9.4,Yes,Yes
26.0,High School,6,100.0,7.3,Yes,Yes
55.0,Bachelor's,32,67.7,6.6,Yes,Yes
65.0,PhD,36,53.1,8.9,No,Yes
39.0,Master's,14,42.1,4.1,Yes,No
19.0,Bachelor's,0,28.5,7.5,Yes,No
41.0,Master's,17,72.3,7.4,Yes,Yes
25.0,High School,7,,4.6,Yes,No
28.0,Master's,3,57.1,7.4,Yes,No
,Bachelor's,,64.7,7.1,Yes,Yes
34.0,Bachelor's,10,41.6,6.1,No,No
25.0,Master's,1,67.7,8.2,Yes,Yes
38.0,Master's,13,74.6,5.4,Yes,Yes
35.0,Master's,9,54.3,7.0,Yes,No
47.0,,,98.8,6.2,Yes,Yes
35.0,PhD,7,48.3,5.3,Yes,No
63.0,PhD,35,70.7,7.5,No,Yes
64.0,Bachelor's,42,82.0,6.1,Yes,Yes
48.0,High School,29,63.5,3.6,No,No
55.0,High School,36,61.2,2.9,Yes,No
49.0,PhD,20,36.4,8.1,Yes,Yes
28.0,Bachelor's,6,92.1,4.1,Yes,No
62.0,Bachelor's,39,61.6,7.1,No,Yes
42.0,Bachelor's,19,75.7,6.6,Yes,Yes
,Bachelor's,,78.5,5.8,Yes,Yes
55.0,Bachelor's,31,52.4,10.0,Yes,Yes
58.0,Bachelor's,35,61.0,6.9,Yes,Yes
25.0,PhD,0,91.7,8.0,Yes,Yes
28.0,Bachelor's,5,42.7,7.1,Yes,No
39.0,Master's,14,100.0,6.0,No,Yes
41.0,Bachelor's,18,50.1,6.5,Yes,No
58.0,High School,38,41.4,9.4,Yes,Yes
,Bachelor's,,67.6,8.7,No,Yes
29.0,Bachelor's,6,100.0,10.0,Yes,Yes
,High School,,26.8,6.9,Yes,No
49.0,PhD,21,62.2,4.7,No,No
32.0,Bachelor's,9,74.5,5.6,Yes,No
33.0,High School,14,65.7,4.1,Yes,No
39.0,High School,21,72.6,8.0,Yes,Yes
45.0,Bachelor's,23,50.6,5.3,Yes,No
37.0,PhD,10,53.0,0.4,Yes,No
50.0,Bachelor's,28,62.0,10.0,Yes,Yes
27.0,Bachelor's,3,42.4,5.4,Yes,No
57.0,Bachelor's,35,64.1,5.3,Yes,Yes
49.0,Bachelor's,25,57.2,9.8,No,Yes
50.0,High School,32,55.6,4.1,Yes,No
19.0,High School,0,71.4,8.8,No,No
50.0,Bachelor's,28,28.6,5.3,Yes,No
50.0,High School,31,60.4,3.9,Yes,No
58.0,High School,40,100.0,9.9,Yes,Yes
30.0,Master's,6,43.3,8.3,Yes,No
47.0,High School,29,90.7,8.3,Yes,Yes
50.0,Master's,25,66.1,7.2,No,Yes
30.0,Master's,4,52.9,7.7,Yes,No
43.0,Bachelor's,19,38.6,4.0,Yes,No
39.0,Bachelor's,16,67.8,6.7,Yes,Yes
56.0,High School,38,94.1,4.6,Yes,Yes
19.0,Master's,0,57.2,3.7,Yes,No
55.0,Bachelor's,33,63.4,7.3,No,Yes
56.0,Bachelor's,32,85.2,8.8,Yes,Yes
43.0,High School,23,,5.7,Yes,No
63.0,PhD,35,33.6,6.1,Yes,Yes
32.0,High School,13,67.0,4.2,No,No
51.0,Bachelor's,27,95.2,6.5,Yes,Yes
,Bachelor's,,64.3,8.0,Yes,Yes
61.0,High School,43,10.2,8.1,Yes,No
57.0,Bachelor's,35,72.8,7.6,Yes,Yes
28.0,Master's,4,61.0,5.3,No,No
20.0,Master's,0,28.4,5.2,Yes,No
23.0,Master's,0,31.4,8.1,No,No
26.0,Bachelor's,3,84.5,8.1,Yes,Yes
23.0,Bachelor's,0,50.4,6.2,Yes,No
26.0,High School,7,46.9,5.6,Yes,No
56.0,Bachelor's,34,64.3,8.8,No,Yes
48.0,High School,28,52.1,5.8,Yes,No
,Bachelor's,,67.0,8.0,Yes,Yes
58.0,Bachelor's,35,60.9,6.2,No,Yes
29.0,Bachelor's,6,41.0,4.4,Yes,No
25.0,Bachelor's,2,54.8,9.7,Yes,Yes
25.0,PhD,0,73.9,6.7,No,No
45.0,Bachelor's,22,65.8,5.1,Yes,No
37.0,PhD,10,63.4,3.7,No,No
64.0,Master's,40,100.0,3.9,Yes,Yes
24.0,Bachelor's,2,,5.8,Yes,No
28.0,Bachelor's,5,82.0,10.0,Yes,Yes
37.0,High School,17,61.7,5.3,Yes,No
33.0,Master's,9,69.4,9.4,Yes,Yes
21.0,Bachelor's,0,56.4,6.2,Yes,No
23.0,PhD,0,,4.1,No,No
39.0,Bachelor's,15,62.8,5.6,No,No
43.0,Master's,19,69.4,3.9,Yes,No
20.0,Master's,0,68.2,4.8,Yes,No
58.0,Bachelor's,34,64.6,4.7,Yes,Yes
59.0,Bachelor's,36,100.0,2.7,Yes,Yes
31.0,Bachelor's,7,51.7,9.5,No,No
28.0,Bachelor's,,51.5,6.9,Yes,No
35.0,High School,17,78.9,5.1,Yes,No
29.0,Master's,3,53.1,6.9,Yes,No
40.0,Bachelor's,16,59.2,4.8,Yes,No
,PhD,,43.3,1.2,Yes,No
30.0,Master's,6,74.8,10.0,Yes,Yes
42.0,Bachelor's,20,75.1,6.9,Yes,Yes
62.0,PhD,34,58.7,5.3,Yes,Yes
36.0,Bachelor's,14,79.3,2.6,Yes,No
63.0,Master's,39,27.8,3.5,No,No
53.0,Bachelor's,29,50.9,9.8,Yes,Yes
62.0,Bachelor's,39,61.6,9.5,Yes,Yes
25.0,Bachelor's,3,41.6,8.0,Yes,No
46.0,Bachelor's,22,30.0,4.3,Yes,No
49.0,Bachelor's,27,58.8,9.5,No,Yes
61.0,Bachelor's,39,78.9,7.4,No,Yes
35.0,Bachelor's,13,90.6,7.8,No,Yes
23.0,PhD,0,54.1,7.4,No,No
35.0,Bachelor's,12,79.7,3.5,No,No
36.0,Bachelor's,12,77.7,4.1,Yes,No
39.0,Bachelor's,15,89.4,5.5,Yes,Yes
54.0,Master's,30,58.0,7.8,Yes,Yes
49.0,PhD,20,29.0,3.7,No,No
58.0,Bachelor's,36,66.4,6.1,Yes,Yes
20.0,High School,0,44.7,6.1,Yes,No
45.0,Bachelor's,22,50.5,8.1,No,Yes
27.0,Bachelor's,4,59.0,7.8,Yes,No
52.0,Master's,26,58.2,4.5,Yes,Yes
46.0,Bachelor's,24,67.8,9.4,No,Yes
32.0,PhD,5,79.1,4.2,No,No
50.0,Bachelor's,28,57.6,8.7,No,Yes
24.0,PhD,0,72.9,5.4,No,No
29.0,High School,10,65.3,6.8,,No
47.0,Master's,23,83.7,7.0,Yes,Yes
38.0,PhD,,61.2,6.9,Yes,Yes
48.0,PhD,21,63.4,7.8,No,Yes
41.0,High School,23,57.5,7.3,Yes,Yes
37.0,High School,18,61.8,8.1,Yes,Yes
54.0,Bachelor's,30,49.3,7.4,Yes,Yes
21.0,High School,1,47.3,4.0,Yes,No
45.0,High School,27,80.5,7.0,Yes,Yes
61.0,High School,43,43.3,5.4,No,No
37.0,Bachelor's,13,58.6,4.3,Yes,No
41.0,Bachelor's,18,85.3,5.9,Yes,Yes
49.0,High School,30,57.9,6.9,Yes,Yes
58.0,High School,39,81.6,7.0,Yes,Yes
53.0,Bachelor's,30,53.2,8.6,Yes,Yes
51.0,Bachelor's,28,44.0,9.1,Yes,Yes
53.0,High School,34,33.1,7.2,No,No
19.0,Bachelor's,0,91.3,7.5,No,No
32.0,PhD,4,42.3,6.7,No,No
51.0,PhD,23,79.9,8.0,Yes,Yes
53.0,PhD,26,45.0,7.5,No,Yes
23.0,Master's,0,91.3,6.4,No,No
56.0,Bachelor's,34,100.0,10.0,No,Yes
59.0,Bachelor's,35,31.3,5.4,Yes,No
29.0,Bachelor's,7,43.3,9.4,Yes,Yes
20.0,Bachelor's,0,80.5,3.8,Yes,No
62.0,Bachelor's,40,75.3,8.1,No,Yes
35.0,Bachelor's,11,80.5,9.4,Yes,Yes
57.0,Bachelor's,35,53.5,2.7,Yes,No
38.0,High School,20,100.0,6.8,Yes,Yes
32.0,Master's,6,67.4,7.9,No,Yes
50.0,High School,31,40.7,7.0,No,No
52.0,Bachelor's,29,59.9,7.3,No,Yes
43.0,High School,24,40.9,6.8,No,No
25.0,Bachelor's,2,96.8,4.3,,No
53.0,High School,34,51.8,10.0,Yes,Yes
65.0,PhD,38,74.8,5.5,No,Yes
47.0,Bachelor's,24,55.6,7.4,No,Yes
40.0,Bachelor's,18,52.7,5.2,Yes,No
59.0,Bachelor's,35,26.8,1.9,Yes,No
61.0,Bachelor's,38,77.0,4.7,Yes,Yes
31.0,Master's,6,91.0,3.6,Yes,No
31.0,Bachelor's,8,46.7,8.7,Yes,No
19.0,Master's,,34.1,5.3,Yes,No
54.0,PhD,27,81.1,5.5,No,Yes
22.0,Master's,0,32.1,4.4,Yes,No
55.0,Bachelor's,33,89.4,6.7,Yes,Yes
62.0,High School,42,46.9,5.1,Yes,No
58.0,Bachelor's,36,42.9,8.5,No,Yes
64.0,Bachelor's,41,70.0,7.1,Yes,Yes
31.0,Master's,5,44.2,5.4,Yes,No
56.0,Master's,30,50.9,8.2,Yes,Yes
42.0,Master's,17,72.1,6.5,Yes,Yes
37.0,Master's,12,16.4,6.5,Yes,No
19.0,High School,0,97.8,3.6,Yes,No
56.0,High School,37,65.9,6.4,Yes,Yes
23.0,Bachelor's,1,39.1,7.1,Yes,No
34.0,PhD,5,44.7,9.2,Yes,Yes
,Master's,,84.8,5.0,No,Yes
45.0,Bachelor's,22,77.0,10.0,No,Yes
19.0,Master's,0,92.7,7.6,Yes,Yes
52.0,Master's,27,51.3,3.5,Yes,No
54.0,PhD,27,70.9,4.8,Yes,Yes
22.0,Master's,0,73.5,9.3,Yes,Yes
18.0,Bachelor's,0,78.9,9.0,No,Yes
57.0,Bachelor's,34,87.5,6.5,Yes,Yes
29.0,High School,11,50.7,6.8,No,No
53.0,Bachelor's,30,62.7,4.2,No,No
62.0,Bachelor's,40,52.8,9.1,Yes,Yes
40.0,High School,22,63.9,4.5,Yes,No
64.0,Master's,38,79.0,8.2,Yes,Yes
48.0,Bachelor's,26,31.9,9.2,Yes,Yes
28.0,PhD,1,87.2,6.6,No,Yes
27.0,Bachelor's,5,42.2,8.4,Yes,No
20.0,Bachelor's,0,58.9,10.0,Yes,Yes
31.0,Bachelor's,9,89.9,7.0,No,Yes
33.0,High School,13,71.6,6.1,No,No
27.0,Bachelor's,4,71.8,6.4,Yes,No
46.0,,,41.4,5.0,No,No
27.0,High School,7,44.1,5.0,Yes,No
29.0,Bachelor's,5,83.8,7.4,No,No
47.0,High School,28,53.2,6.2,Yes,No
58.0,Master's,34,55.1,,No,Yes
18.0,High School,0,84.3,3.5,Yes,No
22.0,Bachelor's,0,44.0,6.3,Yes,No
37.0,Master's,12,70.4,8.6,Yes,Yes
25.0,Bachelor's,1,65.9,4.3,Yes,No
60.0,,,64.9,6.5,Yes,Yes
29.0,Master's,5,54.6,2.8,No,No
18.0,Master's,0,53.4,3.9,No,No
37.0,High School,19,43.4,8.1,No,No
45.0,Master's,20,74.7,5.9,No,Yes
60.0,Master's,35,51.6,10.0,No,Yes
54.0,Bachelor's,31,84.4,7.4,No,Yes
64.0,High School,45,60.5,7.6,Yes,Yes
54.0,Bachelor's,31,43.8,4.3,No,No
29.0,Master's,3,60.2,5.7,Yes,No
54.0,Bachelor's,30,56.8,5.0,No,No
61.0,Master's,37,85.2,4.4,Yes,Yes
45.0,High School,25,57.6,7.8,Yes,Yes
64.0,Master's,40,59.5,,Yes,Yes
32.0,Bachelor's,10,93.2,7.3,Yes,Yes
23.0,High School,3,75.2,4.8,Yes,No
61.0,Bachelor's,37,98.3,7.2,No,Yes
37.0,High School,19,90.2,2.7,Yes,No
31.0,High School,11,47.3,9.1,Yes,No
19.0,Bachelor's,0,84.8,3.9,Yes,No
26.0,Bachelor's,2,95.5,,Yes,Yes
54.0,PhD,26,95.7,6.7,Yes,Yes
37.0,Master's,12,84.8,6.9,Yes,Yes
43.0,Bachelor's,21,84.4,6.4,Yes,Yes
46.0,High School,26,58.9,4.3,Yes,No
,Bachelor's,,48.3,8.8,,Yes
52.0,Master's,28,58.0,3.1,No,No
23.0,Bachelor's,0,31.7,3.5,Yes,No
54.0,High School,35,91.9,6.3,Yes,Yes
22.0,Bachelor's,0,59.3,4.0,Yes,No
50.0,Master's,24,90.8,8.9,Yes,Yes
31.0,Bachelor's,,,4.1,Yes,No
29.0,Master's,4,86.7,9.6,Yes,Yes
59.0,Bachelor's,36,55.1,8.6,No,Yes
37.0,,,39.3,9.0,Yes,Yes
41.0,,,97.5,,Yes,Yes
60.0,Bachelor's,37,87.1,6.7,Yes,Yes
51.0,High School,33,69.2,4.5,Yes,No
42.0,High School,22,65.7,6.3,Yes,No
46.0,High School,27,73.8,5.4,Yes,Yes
56.0,High School,38,68.9,5.1,No,No
48.0,Bachelor's,,49.2,6.8,Yes,No
64.0,PhD,35,56.8,5.9,Yes,Yes
60.0,Bachelor's,38,100.0,5.0,No,Yes
40.0,Bachelor's,17,100.0,6.0,Yes,Yes
61.0,Bachelor's,38,96.3,7.6,Yes,Yes
55.0,Bachelor's,33,74.6,8.4,Yes,Yes
37.0,High School,19,58.2,3.3,Yes,No
40.0,Bachelor's,18,49.0,5.9,No,No
62.0,Bachelor's,40,50.4,6.2,,Yes
33.0,High School,15,53.9,4.1,Yes,No
59.0,Master's,34,100.0,6.3,No,Yes
25.0,Bachelor's,3,100.0,6.8,Yes,Yes
,Bachelor's,,79.9,7.5,Yes,Yes
18.0,High School,0,45.8,6.7,Yes,No
25.0,Bachelor's,1,82.9,4.7,No,No
46.0,Master's,21,60.2,10.0,No,Yes
49.0,Bachelor's,25,21.9,8.2,Yes,No
55.0,High School,36,,7.6,No,Yes
22.0,Bachelor's,0,48.2,8.5,No,No
64.0,High School,45,48.8,7.0,No,Yes
39.0,Bachelor's,17,60.0,9.1,Yes,Yes
64.0,Bachelor's,40,55.0,6.6,No,Yes
51.0,High School,32,64.3,6.5,Yes,Yes
18.0,High School,0,63.4,7.8,No,No
43.0,Bachelor's,20,27.5,9.7,Yes,Yes
60.0,Bachelor's,36,95.4,9.5,Yes,Yes
27.0,High School,8,45.3,7.7,No,No
,Master's,,46.0,7.5,No,No
35.0,Bachelor's,11,58.4,7.9,Yes,Yes
34.0,Bachelor's,10,62.8,8.5,Yes,Yes
43.0,High School,25,94.2,9.1,Yes,Yes
25.0,Bachelor's,2,70.4,6.0,Yes,No
64.0,Bachelor's,41,76.3,9.1,Yes,Yes
57.0,PhD,28,70.5,7.2,Yes,Yes
29.0,Master's,3,69.6,7.8,Yes,Yes
44.0,High School,26,71.2,9.3,Yes,Yes
25.0,Bachelor's,2,26.3,8.0,Yes,No
42.0,Bachelor's,18,60.0,8.3,No,Yes
63.0,Bachelor's,40,88.2,5.7,Yes,Yes
21.0,Master's,0,100.0,9.5,Yes,Yes
50.0,Bachelor's,27,40.9,7.9,No,No
18.0,High School,0,73.5,6.8,Yes,No
36.0,Bachelor's,13,53.6,,Yes,No
48.0,High School,28,100.0,10.0,Yes,Yes
33.0,Master's,9,37.9,4.2,Yes,No
31.0,Bachelor's,9,77.5,4.9,Yes,No
65.0,Bachelor's,41,36.9,10.0,Yes,Yes
22.0,Bachelor's,0,58.6,7.4,No,No
58.0,Master's,34,64.3,6.9,Yes,Yes
43.0,Master's,19,86.4,6.3,No,Yes
45.0,Bachelor's,21,43.5,8.9,Yes,Yes
19.0,Bachelor's,0,78.3,10.0,Yes,Yes
23.0,Bachelor's,0,65.4,5.2,Yes,No
26.0,High School,6,70.5,6.3,Yes,No
50.0,High School,30,84.2,5.8,No,Yes
58.0,High School,,39.3,8.0,Yes,No
42.0,High School,22,81.2,8.9,Yes,Yes
65.0,Bachelor's,42,53.6,9.7,Yes,Yes
30.0,PhD,2,86.9,8.0,Yes,Yes
26.0,Bachelor's,3,71.7,10.0,No,Yes
30.0,High School,11,60.8,5.4,No,No
48.0,Bachelor's,26,53.2,4.8,No,No
58.0,Bachelor's,35,81.5,9.4,Yes,Yes
28.0,High School,10,90.2,6.7,Yes,Yes
21.0,PhD,0,54.3,3.7,,No
51.0,Bachelor's,29,42.3,5.9,Yes,No
55.0,PhD,26,78.9,7.0,Yes,Yes
63.0,Bachelor's,41,36.0,5.2,No,No
21.0,Bachelor's,0,38.9,4.5,No,No
55.0,High School,37,43.7,6.1,No,No
36.0,Bachelor's,12,56.7,4.4,Yes,No
23.0,High School,4,38.3,7.8,Yes,No
51.0,Master's,26,26.2,2.6,No,No
35.0,Master's,11,42.3,6.7,No,No
30.0,Master's,6,77.8,7.5,No,Yes
58.0,Master's,33,39.6,6.3,Yes,Yes
40.0,Master's,15,58.2,8.7,No,Yes
36.0,High School,17,100.0,3.8,Yes,No
62.0,Bachelor's,39,64.0,5.1,Yes,Yes
28.0,Bachelor's,6,71.9,5.8,No,No
18.0,Bachelor's,0,46.1,7.9,Yes,No
41.0,Master's,17,100.0,6.9,Yes,Yes
24.0,High School,5,54.2,10.0,Yes,No
42.0,High School,22,60.4,4.9,Yes,No
38.0,PhD,10,91.3,3.7,Yes,Yes
32.0,Bachelor's,9,61.4,10.0,Yes,Yes
18.0,High School,0,66.0,3.6,Yes,No
29.0,Master's,3,59.4,7.9,Yes,Yes
24.0,PhD,0,59.5,4.5,No,No
32.0,High School,12,,2.4,Yes,No
38.0,Master's,12,76.1,5.8,No,No
36.0,PhD,7,52.1,8.3,Yes,Yes
46.0,PhD,18,49.7,4.1,Yes,No
42.0,PhD,14,52.8,7.7,Yes,Yes
50.0,Bachelor's,26,37.0,8.0,Yes,Yes
49.0,Bachelor's,27,33.2,4.0,No,No
52.0,High School,32,70.9,6.0,Yes,Yes
61.0,High School,41,83.8,9.7,No,Yes
55.0,Bachelor's,32,82.4,7.8,Yes,Yes
43.0,Bachelor's,21,17.4,6.0,No,No
28.0,High School,,60.1,7.3,Yes,No
52.0,Bachelor's,30,43.0,5.1,Yes,No
25.0,High School,6,67.9,8.7,Yes,Yes
63.0,Master's,39,56.6,8.7,Yes,Yes
31.0,Bachelor's,8,76.8,6.7,Yes,Yes
27.0,Bachelor's,3,64.6,7.0,Yes,No
19.0,Bachelor's,0,27.1,4.5,Yes,No
63.0,High School,45,45.7,3.8,No,No
26.0,PhD,0,65.1,5.7,No,No
20.0,Bachelor's,0,66.8,6.3,Yes,No
